Date,BW,Remark
2023/7/24,611.1,
2023/7/24,600.9,
2023/7/24,564.9,
2023/7/24,698.7,
2023/7/24,654.9,
2023/7/24,464.5,
2023/7/24,401.4,
2023/7/24,540.5,
2023/7/24,608,
2023/7/24,608.6,
2023/7/24,962.9,
2023/7/24,633.4,
2023/7/24,640.3,
2023/7/24,515.7,
2023/7/24,680,
2023/7/24,494.8,
2023/7/24,523.9,
2023/7/24,417.1,
2023/7/24,552.3,
2023/7/24,600.3,
2023/7/24,392.7,
2023/7/24,760.6,
2023/7/24,610.2,
2023/7/24,785.5,
2023/7/24,441.2,
2023/7/24,730.1,
2023/7/24,561.9,
2023/7/24,433,
2023/7/24,553.5,
2023/7/24,806.5,
2023/7/24,551.4,
2023/7/24,464.8,
2023/7/24,653.4,
2023/7/24,555.8,
2023/7/24,559.9,
2023/7/24,566.3,
2023/7/24,713.5,
2023/7/24,567.9,
2023/7/24,644.8,
2023/7/24,374.3,
2023/7/24,743.5,
2023/7/24,443.9,
2023/7/24,762,
2023/7/24,928.6,
2023/7/24,580.5,
2023/7/24,299.9,
2023/7/24,492,
2023/7/24,729.3,
2023/7/24,634.7,
2023/7/24,715.5,
2023/7/24,818.9,
2023/7/24,539.1,
2023/7/24,380.8,
2023/7/24,764.2,
2023/7/24,538.9,
2023/7/24,624,
2023/9/11,660,
2023/9/11,413,
2023/9/11,491,
2023/9/11,389,
2023/9/11,499,
2023/9/13,873,
2023/9/22,599,
2023/9/22,650,
2023/9/22,502,
2023/9/22,655,
2023/9/22,422,
2023/9/22,654,
2023/10/2,325,
2023/10/2,348,
2023/10/2,741,
2023/10/2,677,
2023/10/2,411,
2023/10/2,645,
2023/10/2,330,
2023/10/2,622,
2023/10/2,313,
2023/10/2,604,
2023/10/3,575,
2023/10/3,650,
2023/10/3,544,
2023/10/3,520,
2023/10/3,570,
2023/10/3,635,
2023/10/3,688,
2023/10/3,730,
2023/10/3,580,
2023/10/3,415,
2023/10/5,339.8,
2023/10/5,387.8,
2023/10/5,741.5,
2023/10/5,380.9,
2023/10/5,599.1,
2023/10/5,528,
2023/10/5,383.4,
2023/10/5,407.1,
2023/10/5,943.5,
2023/10/5,543.7,
2023/10/5,474.3,
2023/10/5,490.8,
2023/10/5,721.9,
2023/10/5,514.7,
2023/10/5,441.4,
2023/10/5,598.7,
2023/10/5,520.3,
2023/10/5,711.7,
2023/10/5,614.9,
2023/10/5,544.5,
2023/10/5,619.2,
2023/10/5,432.3,
2023/10/5,678.8,
2023/10/5,692.1,
2023/10/5,567.1,
2023/10/5,394.7,
2023/10/5,389.8,
2023/10/5,654.4,
2023/10/5,389.3,
2023/10/5,388.8,
2023/10/5,434.9,
2023/10/5,412.3,
2023/10/5,418.5,
2023/10/5,556.6,
2023/10/5,702,
2023/10/5,377.9,
2023/10/5,549.2,
2023/10/5,673.4,
2023/10/5,711.8,
2023/10/5,578,
2023/10/5,596.6,
2023/10/5,499.3,
2023/10/5,565.5,
2023/10/5,379.2,
2023/10/5,542.2,
2023/10/5,638.5,
2023/10/5,557.9,
2023/10/5,674.4,
2023/10/5,703.2,
2023/10/5,868.4,
2023/10/5,670.8,
2023/10/5,365.1,
2023/10/5,793.3,
2023/10/5,484.4,
2023/10/5,440.4,
2023/10/5,970,
2023/10/5,441.6,
2023/10/5,663.1,
2023/10/5,689.6,
2023/10/5,631,
2023/10/5,586.9,
2023/10/5,467.4,
2023/10/5,495.9,
2023/10/5,690.2,
2023/10/5,336.5,
2023/10/5,473.4,
2023/10/5,714.9,
2023/10/5,782,
2023/10/5,459.9,
2023/10/5,503.9,
2023/10/5,390.6,
2023/10/5,725.9,
2023/10/5,510.3,
2023/10/5,496,
2023/10/5,659.6,
2023/10/5,637.7,
2023/10/5,550.3,
2023/10/5,740,
2023/10/5,509.6,
2023/10/5,679.4,
2023/10/5,404.6,
2023/10/5,459.3,
2023/10/5,853.8,
2023/10/5,500.5,
2023/10/5,343.4,
2023/10/5,665.9,
2023/10/5,690.2,
2023/10/5,409.9,
2023/10/5,536.2,
2023/10/5,330.7,
2023/10/5,381.2,
2023/10/5,539.9,
2023/10/5,555.6,
2023/10/5,697.5,
2023/10/5,525.3,
2023/10/5,604,
2023/10/5,525.9,
2023/10/5,703.1,
2023/10/5,521.3,
2023/10/5,491,
2023/10/5,461.8,
2023/10/5,689.2,
2023/10/5,401.7,
2023/10/5,555.8,
2023/10/5,693.7,
2023/10/5,446,
2023/10/5,586.4,
2023/10/5,418.7,
2023/10/5,592.4,
2023/10/5,596.6,
2023/10/5,555.8,
2023/10/5,431.1,
2023/10/5,500.3,
2023/10/5,577,
2023/10/5,474.1,
2023/10/5,553.3,
2023/10/5,429.6,
2023/10/5,380.3,
2023/10/5,752.9,
2023/10/5,617.9,
2023/10/5,729.7,
2023/10/5,503.5,
2023/10/5,545.4,
2023/10/5,401.4,
2023/10/5,522.7,
2023/10/5,725.2,
2023/10/5,488.5,
2023/10/5,478.1,
2023/10/5,450.2,
2023/10/5,486.6,
2023/10/5,487.7,
2023/10/5,424.6,
2023/10/5,318.8,
2023/10/5,301.8,
2023/10/5,719.8,
2023/10/5,468.9,
2023/10/5,589.1,
2023/10/5,585.9,
2023/10/5,618.5,
2023/10/5,684.7,
2023/10/5,653.8,
2023/10/5,482.9,
2023/10/5,343.7,
2023/10/5,445.7,
2023/10/5,664.6,
2023/10/5,638,
2023/10/5,408.4,
2023/10/5,479,
2023/10/5,533.3,
2023/10/5,371.6,
2023/10/5,455.4,
2023/10/5,592.8,
2023/10/5,421.3,
2023/10/5,499.3,
2023/10/5,552.4,
2023/10/5,316.3,
2023/10/5,490.9,
2023/10/5,685,
2023/10/5,579.6,
2023/10/5,614.4,
2023/10/5,715.2,
2023/10/5,469,
2023/10/5,487,
2023/10/5,473.6,
2023/10/5,443.6,
2023/10/5,618.8,
2023/10/5,517.8,
2023/10/5,510.7,
2023/10/5,540.5,
2023/10/5,433.4,
2023/10/5,512.4,
2023/10/5,653.1,
2023/10/5,492,
2023/10/5,528.4,
2023/10/5,409.1,
2023/10/5,684.1,
2023/10/5,428,
2023/10/5,413.7,
2023/10/5,592,
2023/10/5,444,
2023/10/5,493.7,
2023/10/5,534.7,
2023/10/5,611.8,
2023/10/5,490.9,
2023/10/5,542.4,
2023/10/5,546.4,
2023/10/5,517.6,
2023/10/5,450.3,
2023/10/5,415.4,
2023/10/5,486.5,
2023/10/5,567.7,
2023/10/5,553.7,
2023/10/5,464.6,
2023/10/5,472.3,
2023/10/5,424.8,
2023/10/5,614.3,
2023/10/5,538,
2023/10/5,589.2,
2023/10/5,442.7,
2023/10/5,621.7,
2023/10/5,727.5,
2023/10/5,478.2,
2023/10/5,348.1,
2023/10/5,452.6,
2023/10/5,525.4,
2023/10/5,724.2,
2023/10/5,390.8,
2023/10/5,532.8,
2023/10/5,444.9,
2023/10/5,587.4,
2023/10/5,684.1,
2023/10/5,461.5,
2023/10/5,445,
2023/10/5,452.4,
2023/10/5,580.9,
2023/10/5,629.4,
2023/10/5,610.4,
2023/10/5,456.8,
2023/10/5,348.8,
2023/10/5,676.2,
2023/10/5,856.7,
2023/10/5,686.2,
2023/10/5,369.8,
2023/10/5,547.6,
2023/10/5,715.4,
2023/10/5,420.9,
2023/10/5,383.5,
2023/10/5,441.8,
2023/10/5,272.2,
2023/10/5,679.7,
2023/10/5,449.4,
2023/10/5,478.8,
2023/10/5,512,
2023/10/5,644.1,
2023/10/5,488.7,
2023/10/5,590.6,
2023/10/5,604.6,
2023/10/5,419.8,
2023/10/5,440.5,
2023/10/5,352,
2023/10/5,708.7,
2023/10/5,336.6,
2023/10/5,627.9,
2023/10/5,544.8,
2023/10/5,477.1,
2023/10/5,630.5,
2023/10/5,419.9,
2023/10/5,458.9,
2023/10/5,352.6,
2023/10/5,446.4,
2023/10/5,595.4,
2023/10/5,482.6,
2023/10/5,614.2,
2023/10/5,772.4,
2023/10/5,493.3,
2023/10/5,469.1,
2023/10/5,405,
2023/10/5,617.6,
2023/10/5,595.3,
2023/10/5,443.6,
2023/10/5,480,
2023/10/5,760.7,
2023/10/5,472.4,
2023/10/5,418.7,
2023/10/5,569.3,
2023/10/5,790.3,
2023/10/5,494.5,
2023/10/5,430.1,
2023/10/5,686.7,
2023/10/5,446.6,
2023/10/5,498.5,
2023/10/5,309.4,
2023/10/5,417.5,
2023/10/5,342.6,
2023/10/5,391,
2023/10/5,480,
2023/10/5,629.5,
2023/10/5,470.4,
2023/10/5,585.3,
2023/10/5,572.1,
2023/10/5,551,
2023/10/5,522.7,
2023/10/5,682.8,
2023/10/5,466.2,
2023/10/5,482.8,
2023/10/5,555.2,
2023/10/5,450.4,
2023/10/5,257.5,
2023/10/5,572.9,
2023/10/5,506.8,
2023/10/5,575,
2023/10/5,501.6,
2023/10/5,650.2,
2023/10/5,671.3,
2023/10/5,511.9,
2023/10/5,630.2,
2023/10/5,487.5,
2023/10/5,576.2,
2023/10/5,737.5,
2023/10/5,338.4,
2023/10/5,600.4,
2023/10/5,475.6,
2023/10/5,592.1,
2023/10/5,685.8,
2023/10/5,540.6,
2023/10/5,816.2,
2023/10/5,446.4,
2023/10/5,516.7,
2023/10/5,630.6,
2023/10/5,524.5,
2023/10/5,511.8,
2023/10/5,589.3,
2023/10/5,635.4,
2023/10/5,354.9,
2023/10/5,410.1,
2023/10/5,457.7,
2023/10/5,370.2,
2023/10/5,597.2,
2023/10/5,666.1,
2023/10/5,510.7,
2023/10/5,564.6,
2023/10/5,559.5,
2023/10/5,513.9,
2023/10/5,724.3,
2023/10/5,611.3,
2023/10/5,293.1,
2023/10/5,433.3,
2023/10/5,574.8,
2023/10/5,344.1,
2023/10/5,503,
2023/10/5,544.2,
2023/10/5,306.7,
2023/10/5,417.3,
2023/10/5,518,
2023/10/5,489.2,
2023/10/5,384.7,
2023/10/5,456.7,
2023/10/5,529.1,
2023/10/5,597,
2023/10/5,662.8,
2023/10/5,435.5,
2023/10/5,390.8,
2023/10/5,477.7,
2023/10/5,649.3,
2023/10/5,497.6,
2023/10/5,457,
2023/10/5,521.8,
2023/10/5,393,
2023/10/5,430.5,
2023/10/5,278.7,
2023/10/5,528.3,
2023/10/5,424.3,
2023/10/5,515.2,
2023/10/5,306.2,
2023/10/5,505.1,
2023/10/5,417.2,
2023/10/5,658.8,
2023/10/5,384.7,
2023/10/5,428.4,
2023/10/5,409.2,
2023/10/5,474.9,
2023/10/5,644.8,
2023/10/5,380.1,
2023/10/5,370.6,
2023/10/5,637.8,
2023/10/5,451.8,
2023/10/5,621,
2023/10/5,540.7,
2023/10/5,504.7,
2023/10/5,663.7,
2023/10/5,608.5,
2023/10/5,723.8,
2023/10/5,547.9,
2023/10/5,615.4,
2023/10/5,482.1,
2023/10/5,563.1,
2023/10/5,834.6,
2023/10/5,574.1,
2023/10/5,598,
2023/10/5,476.5,
2023/10/5,448.4,
2023/10/5,630.1,
2023/10/5,419.1,
2023/10/5,565.9,
2023/10/5,468.9,
2023/10/5,421.2,
2023/10/5,450.1,
2023/10/5,564.1,
2023/10/5,525.9,
2023/10/5,603.9,
2023/10/5,499.7,
2023/10/5,509.9,
2023/10/5,491.8,
2023/10/5,725.6,
2023/10/5,473.8,
2023/10/5,698,
2023/10/5,498.3,
2023/10/5,579.3,
2023/10/5,587.2,
2023/10/5,510.3,
2023/10/5,532.2,
2023/10/5,826.1,
2023/10/5,774.4,
2023/10/5,466,
2023/10/5,778.7,
2023/10/5,403.8,
2023/10/5,337.8,
2023/10/5,528.1,
2023/10/5,508,
2023/10/5,439,
2023/10/5,804.4,
2023/10/5,857.6,
2023/10/5,596,
2023/10/5,566.2,
2023/10/5,554.6,
2023/10/5,818,
2023/10/5,390.3,
2023/10/18,725,
2023/10/18,608,
2023/10/18,1026,
2023/10/18,760,
2023/10/18,457,
2023/10/18,787,
2023/10/18,698,
2023/10/18,715,
2023/10/18,782,
2023/10/18,414,
2023/10/18,524,
2023/10/18,416,
2023/10/18,324,
2023/10/18,610,
2023/10/18,903,
2023/10/18,717,
2023/10/18,600,
2023/10/18,737,
2023/10/18,760,
2023/10/18,562,
2023/10/18,875,
2023/10/18,630,
2023/10/18,610,
2023/10/18,760,
2023/10/18,880,
2023/10/18,830,
2023/10/18,760,
2023/10/18,810,
2023/10/18,480,
2023/10/18,870,
2023/10/18,425,
2023/10/18,510,
2023/10/18,520,
2023/10/18,770,
2023/10/18,280,
2023/10/18,495,
2023/10/18,500,
2023/10/18,540,
2023/10/18,580,
2023/10/18,740,
2023/10/26,577.5,
2023/10/26,639.5,
2023/10/26,464,
2023/10/26,528.9,
2023/10/26,766.7,
2023/10/26,447.6,
2023/10/26,623.2,
2023/10/26,480.5,
2023/10/26,726.3,
2023/10/26,581.3,
2023/10/26,516.4,
2023/10/26,343.8,
2023/10/26,648.6,
2023/10/26,595.8,
2023/10/26,559.7,
2023/10/26,697.6,
2023/10/26,474.4,
2023/10/26,809.6,
2023/10/26,727.8,
2023/10/26,727,
2023/10/26,571.9,
2023/10/26,820.7,
2023/10/26,626.7,
2023/10/26,814.9,
2023/10/26,465.1,
2023/10/26,836.7,
2023/10/26,548.5,
2023/10/26,802.5,
2023/10/26,594.3,
2023/10/26,801.9,
2023/10/26,679.3,
2023/10/26,418.1,
2023/10/26,666.8,
2023/10/26,608,
2023/10/26,589.8,
2023/10/26,948.3,
2023/10/26,664.7,
2023/10/26,476,
2023/10/26,497.3,
2023/10/26,411.5,
2023/10/26,584.8,
2023/10/26,324.1,
2023/10/26,496.4,
2023/10/26,763,
2023/10/26,639.5,
2023/10/26,513.9,
2023/10/26,530.3,
2023/10/26,507.7,
2023/10/26,338.5,
2023/10/26,472.9,
2023/10/26,394.9,
2023/10/26,856.5,
2023/10/26,480.5,
2023/10/26,964.3,
2023/10/26,985.9,
2023/10/26,352.2,
2023/10/26,506.7,
2023/10/26,561.7,
2023/10/26,477.6,
2023/10/26,399.5,
2023/10/26,600.5,
2023/10/26,476.9,
2023/10/26,864.8,
2023/10/26,570.5,
2023/10/26,620.3,
2023/10/26,407.3,
2023/10/26,497,
2023/10/26,846.8,
2023/10/26,775.4,
2023/10/26,506.8,
2023/10/26,571.5,
2023/10/26,773.6,
2023/10/26,763.1,
2023/10/26,516.8,
2023/10/26,666.1,
2023/10/26,649.7,
2023/10/26,765,
2023/10/26,705.4,
2023/10/26,691,
2023/10/26,581.2,
2023/10/26,730.3,
2023/10/26,473.7,
2023/10/26,482.4,
2023/10/26,523.7,
2023/10/26,484.6,
2023/10/26,591.2,
2023/10/26,652.8,
2023/10/26,642.9,
2023/10/26,838,
2023/10/26,529.7,
2023/10/26,569.6,
2023/10/26,597.6,
2023/10/26,485.8,
2023/10/26,769.9,
2023/10/26,501.5,
2023/10/26,546.1,
2023/10/26,475.6,
2023/10/26,591.8,
2023/10/26,704.8,
2023/10/26,298.8,
2023/10/26,673,
2023/10/26,466.5,
2023/10/26,469.3,
2023/10/26,755.6,
2023/10/26,823.4,
2023/10/26,789.3,
2023/10/26,535,
2023/10/26,474.3,
2023/10/26,486.6,
2023/10/26,750,
